implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,0.250000000,000102030405060708090a0b0c0d0e0f,1,1,0.001129000,14336,42135,2.939104353,78,0.123329000,14336,3481691,242.863490513,39880,0.006494000,184260,6144,11381,6786,5476,16992,0,0,1406,13762,9.788051209,78,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,0.500000000,000102030405060708090a0b0c0d0e0f,1,1,0.001174000,14336,41472,2.892857143,101,0.085311000,14336,2382520,166.191406250,32602,0.006480000,184260,6144,11381,7713,5446,24274,0,0,479,5817,12.144050104,101,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,1.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001160000,14336,41629,2.903808594,22,0.044518000,14336,1296508,90.437220982,7539,0.006504000,184260,6144,11381,7778,5029,28788,414,1460,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,2.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001159000,14336,41706,2.909179688,21,0.057026000,14336,1656673,115.560337612,15092,0.006451000,184260,6144,11381,4767,1985,22617,3425,7708,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,4.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001158000,14336,41447,2.891113281,24,0.080710000,14336,2337707,163.065499442,8018,0.006461000,184260,6144,11381,3402,598,20847,4790,9219,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,8.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001177000,14336,41922,2.924246652,26,0.114557000,14336,3305151,230.549037388,15348,0.006340000,184260,6144,11381,2955,140,20702,5237,9839,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,16.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001104000,14336,41858,2.919782366,49,0.141995000,14336,4094580,285.615234375,30554,0.006448000,184260,6144,11381,2825,9,20573,5367,9904,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated c sweep keys",16384,14336,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001176000,14336,41767,2.913434710,75,0.147510000,14336,4167214,290.681780134,30587,0.006421000,184260,6144,11381,2816,0,20485,5376,9901,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
