load insavg insmax lkavg lkmax neg
87.500000 2.9227 109 352.1291 120307 787563
96.875000 4.2551 465 981.1441 257773 787563
99.218750 5.6133 701 1377.2312 290116 787563
99.609375 6.1506 801 1473.7255 322415 787563
