load insavg insmax lkavg lkmax neg
87.500000 4.2928 363 4.2928 363 14
96.875000 16.5016 4245 16.5016 4245 96
99.218750 45.9528 11519 45.9528 11519 1323
99.609375 61.9515 18585 61.9515 18585 1506
