load insavg insmax lkavg lkmax neg
87.500000 17.3985 61 17.3985 61 58
96.875000 33.2910 151 33.2910 151 148
99.218750 48.3264 294 48.3264 294 290
99.609375 56.2020 544 56.2020 544 545
