load insavg insmax lkavg lkmax neg
87.500000 4.4978 304 4.4978 304 36
96.875000 16.1088 2825 16.1088 2825 74
99.218750 55.5106 26310 55.5106 26310 1157
99.609375 88.7901 34386 88.7901 34386 2644
