load insavg insmax lkavg lkmax neg
87.500000 17.3970 61 17.3970 61 52
96.875000 33.2919 151 33.2919 151 147
99.218750 48.3263 295 48.3263 295 288
99.609375 56.2020 544 56.2020 544 545
