"phi-aware (shipped)",65536,0.125000000,57344,351.2812,120154,0,0.644528
"image-only (proposed)",65536,0.125000000,57344,19.5227,866,0,0.066290
"(i,j) scan, j<=|Ai|",65536,0.125000000,57344,14.4446,222,0,0.025783
"(i,j) scan, j<=8|Ai|",65536,0.125000000,57344,14.4446,222,0,0.025646
"full-table SipHash % n",65536,0.125000000,57344,42161.1179,522767,7,63.127229
"phi-aware (shipped)",65536,0.007812500,65024,1384.3568,278921,0,2.981994
"image-only (proposed)",65536,0.007812500,65024,45.9547,6861,0,0.787780
"(i,j) scan, j<=|Ai|",65536,0.007812500,65024,253.4504,4098,0,0.535443
"(i,j) scan, j<=8|Ai|",65536,0.007812500,65024,253.6590,4098,0,0.522903
"full-table SipHash % n",65536,0.007812500,65024,43557.0462,522767,15,72.932094
"phi-aware (shipped)",65536,0.003906250,65280,1506.0639,319765,0,3.259234
"image-only (proposed)",65536,0.003906250,65280,51.3046,10896,0,1.217983
"(i,j) scan, j<=|Ai|",65536,0.003906250,65280,508.4851,8380,3,1.114701
"(i,j) scan, j<=8|Ai|",65536,0.003906250,65280,514.4593,10416,0,1.133246
"full-table SipHash % n",65536,0.003906250,65280,43659.4991,522767,15,73.672767
