implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",16384,14336,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001124000,14336,41767,2.913434710,75,0.149923000,14336,4167214,290.681780134,30587,0.006832000,184260,6144,11381,2816,0,20485,5376,9901,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"generated sweep keys",16384,15872,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001798000,15872,66888,4.214213710,290,0.330080000,15872,9360364,589.740675403,86592,0.007015000,184260,6144,11381,3776,0,44465,5952,11042,0,0,,0,,,,,5.000000000,25.000000000,3.807354922,,
elastic,"generated sweep keys",16384,16256,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.002302000,16256,85270,5.245447835,701,0.397519000,16256,11418276,702.403789370,66272,0.006565000,184260,6144,11381,4017,1,62623,6095,11266,0,0,,0,,,,,7.000000000,49.000000000,3.807354922,,
elastic,"generated sweep keys",16384,16320,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.002684000,16320,102073,6.254473039,801,0.422642000,16320,12124161,742.902022059,81890,0.006379000,184260,6144,11381,4069,13,79396,6107,11296,0,0,,0,,,,,8.000000000,64.000000000,3.807354922,,
