implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",32768,28672,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.002439000,28672,82026,2.860839844,100,0.325467000,28672,9222350,321.650041853,122843,0.014289000,389760,12288,22661,5632,0,39753,10752,19612,0,0,,0,,,,,3.000000000,9.000000000,3.906890596,,
elastic,"generated sweep keys",32768,31744,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.003655000,31744,132817,4.184003276,306,0.834329000,31744,24402239,768.719726562,127614,0.013750000,389760,12288,22661,7552,0,88218,11904,21938,0,0,,0,,,,,5.000000000,25.000000000,3.906890596,,
elastic,"generated sweep keys",32768,32512,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.004696000,32512,177709,5.465951033,701,1.119776000,32512,33103326,1018.187930610,197802,0.013390000,389760,12288,22661,8034,2,132548,12190,22500,0,0,,0,,,,,7.000000000,49.000000000,3.906890596,,
elastic,"generated sweep keys",32768,32640,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.005292000,32640,199687,6.117861520,801,1.213626000,32640,35028680,1073.182598039,177706,0.014035000,389760,12288,22661,8119,7,154528,12233,22498,0,0,,0,,,,,8.000000000,64.000000000,3.906890596,,
