implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",65536,57344,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.005130000,57344,167602,2.922746931,109,0.750829000,57344,20192491,352.129098075,120307,0.029809000,787563,24576,45552,11264,0,82171,21504,39879,0,0,,0,,,,,3.000000000,9.000000000,4.000000000,,
elastic,"generated sweep keys",65536,63488,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.007211000,63488,270145,4.255056074,465,2.194056000,63488,62290878,981.144121724,257773,0.028497000,787563,24576,45552,15104,0,180456,23808,44137,0,0,,0,,,,,5.000000000,25.000000000,4.000000000,,
elastic,"generated sweep keys",65536,65024,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.009662000,65024,364999,5.613296629,701,3.169057000,65024,89553079,1377.231160802,290116,0.029789000,787563,24576,45552,16069,5,274283,24379,45164,0,0,,0,,,,,7.000000000,49.000000000,4.000000000,,
elastic,"generated sweep keys",65536,65280,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.011122000,65280,401509,6.150566789,801,3.427724000,65280,96204803,1473.725536152,322415,0.028667000,787563,24576,45552,16237,13,310710,24467,45247,0,0,,0,,,,,8.000000000,64.000000000,4.000000000,,
