implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",131072,114688,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.010216000,114688,336259,2.931945801,101,1.642419000,114688,42516640,370.715680804,120827,0.085376000,2006295,49152,90631,22528,0,166283,43008,79345,0,0,,0,,,,,3.000000000,9.000000000,4.087462841,,
elastic,"generated sweep keys",131072,126976,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.015244000,126976,534804,4.211851058,501,5.286066000,126976,140376968,1105.539377520,491387,0.079188000,2006295,49152,90631,30209,1,356162,47615,88011,0,0,,0,,,,,5.000000000,25.000000000,4.087462841,,
elastic,"generated sweep keys",131072,130048,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.020182000,130048,724444,5.570589321,701,9.091537000,130048,240304581,1847.814506951,680443,0.083160000,2006295,49152,90631,32143,15,543832,48753,89981,0,0,,0,,,,,7.000000000,49.000000000,4.087462841,,
elastic,"generated sweep keys",131072,130560,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.022499000,130560,819971,6.280415135,801,10.180598000,130560,268390241,2055.685056679,900063,0.078417000,2006295,49152,90631,32488,40,638836,48920,90504,0,0,,0,,,,,8.000000000,64.000000000,4.087462841,,
