implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",1048576,917504,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.092934000,917504,2681235,2.922314235,126,38.039263000,917504,346143207,377.266155788,240308,1.847723000,15130241,393216,728908,180224,0,1315669,344064,636658,0,0,,0,,,,,3.000000000,9.000000000,4.321928095,,
elastic,"generated sweep keys",1048576,1015808,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.130999000,1015808,4285934,4.219236312,491,185.200364000,1015808,1601811182,1576.883802845,2838080,1.923888000,15130241,393216,728908,241664,0,2852587,380928,704439,0,0,,0,,,,,5.000000000,25.000000000,4.321928095,,
elastic,"generated sweep keys",1048576,1040384,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.171867000,1040384,5765142,5.541359729,701,490.079445000,1040384,3953045336,3799.602200726,4622357,1.940061000,15130241,393216,728908,257120,96,4314625,390048,721609,0,0,,0,,,,,7.000000000,49.000000000,4.321928095,,
elastic,"generated sweep keys",1048576,1044480,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.192025000,1044480,6505083,6.228058938,801,628.881170000,1044480,5057405287,4842.031716261,6236941,2.081002000,15130241,393216,728908,259865,281,5052034,391399,724141,0,0,,0,,,,,8.000000000,64.000000000,4.321928095,,
