implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",8192,7168,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000577000,7168,20984,2.927455357,69,0.064928000,7168,1872475,261.226981027,27040,0.002174000,60724,3072,5693,1408,0,10337,2688,4954,0,0,,0,,,,,3.000000000,9.000000000,3.700439718,,
elastic,"generated sweep keys",8192,7936,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000920000,7936,34055,4.291204637,244,0.135739000,7936,3886593,489.742061492,42829,0.002234000,60724,3072,5693,1888,0,22808,2976,5554,0,0,,0,,,,,5.000000000,25.000000000,3.700439718,,
elastic,"generated sweep keys",8192,8128,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001195000,8128,45031,5.540231299,579,0.144242000,8128,4398142,541.109990157,55053,0.002028000,60724,3072,5693,2008,0,33744,3048,5594,0,0,,0,,,,,7.000000000,49.000000000,3.700439718,,
elastic,"generated sweep keys",8192,8160,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001300000,8160,51785,6.346200980,801,0.151473000,8160,4627898,567.144362745,38064,0.002211000,60724,3072,5693,2031,3,40463,3057,5629,0,0,,0,,,,,8.000000000,64.000000000,3.700439718,,
