implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",262144,229376,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.020989000,229376,672298,2.930986677,118,3.756123000,229376,86102851,375.378640311,122866,0.162699000,3617266,98304,181637,45056,0,332410,86016,158251,0,0,,0,,,,,3.000000000,9.000000000,4.169925001,,
elastic,"generated sweep keys",262144,253952,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.031457000,253952,1069768,4.212481099,378,14.626193000,253952,335203458,1319.948092553,966628,0.162310000,3617266,98304,181637,60416,0,711854,95232,176277,0,0,,0,,,,,5.000000000,25.000000000,4.169925001,,
elastic,"generated sweep keys",262144,260096,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.041962000,260096,1446298,5.560631459,701,27.172736000,260096,641050729,2464.669695036,1726587,0.156546000,3617266,98304,181637,64275,19,1083993,97517,180668,0,0,,0,,,,,7.000000000,49.000000000,4.169925001,,
elastic,"generated sweep keys",262144,261120,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.046791000,261120,1628991,6.238476562,801,32.051294000,261120,742018938,2841.677918199,1525629,0.160670000,3617266,98304,181637,64961,65,1266292,97855,181062,0,0,,0,,,,,8.000000000,64.000000000,4.169925001,,
