implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",524288,458752,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.043155000,458752,1339720,2.920357840,133,11.484527000,458752,170174180,370.950273786,378624,0.548124000,6964933,196608,364459,90112,0,657556,172032,317705,0,0,,0,,,,,3.000000000,9.000000000,4.247927513,,
elastic,"generated sweep keys",524288,507904,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.064197000,507904,2134648,4.202857233,473,52.946269000,507904,736331144,1449.744723412,1932786,0.538913000,6964933,196608,364459,120832,0,1419076,190464,351113,0,0,,0,,,,,5.000000000,25.000000000,4.247927513,,
elastic,"generated sweep keys",524288,520192,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.085066000,520192,2903102,5.580827848,701,118.788525000,520192,1614006467,3102.712973287,3862189,0.566148000,6964933,196608,364459,128578,66,2178727,195006,359916,0,0,,0,,,,,7.000000000,49.000000000,4.247927513,,
elastic,"generated sweep keys",524288,522240,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.096856000,522240,3287220,6.294462316,801,146.650492000,522240,1974109643,3780.081271063,3862189,0.497515000,6964933,196608,364459,129956,164,2561464,195676,361297,0,0,,0,,,,,8.000000000,64.000000000,4.247927513,,
