implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
elastic,"generated sweep keys",4096,3584,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000423000,3584,10320,2.879464286,78,0.031575000,3584,775546,216.391183036,8643,0.001243000,32570,1536,2855,704,0,5033,1344,2432,0,0,,0,,,,,3.000000000,9.000000000,3.584962501,,
elastic,"generated sweep keys",4096,3968,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000444000,3968,15623,3.937247984,110,0.041261000,3968,1248887,314.739667339,15284,0.001090000,32570,1536,2855,944,0,10050,1488,2718,0,0,,0,,,,,5.000000000,25.000000000,3.584962501,,
elastic,"generated sweep keys",4096,4064,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000560000,4064,21010,5.169783465,360,0.047851000,4064,1480488,364.293307087,15014,0.001190000,32570,1536,2855,1004,0,15383,1524,2772,0,0,,0,,,,,7.000000000,49.000000000,3.584962501,,
elastic,"generated sweep keys",4096,4080,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000545000,4080,22158,5.430882353,361,0.051198000,4080,1555527,381.256617647,15192,0.001109000,32570,1536,2855,1014,0,16503,1530,2800,0,0,,0,,,,,8.000000000,64.000000000,3.584962501,,
