implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
standard,"english.txt",4096,3584,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,1,1,0.000246000,3584,13301,3.711216518,108,0.000180000,3584,13301,3.711216518,108,0.000000000,4,,,,,,,,,,,,,,,,3.000000000,9.000000000,3.584962501,,
elastic,"english.txt",4096,3584,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000288000,3584,10374,2.894531250,85,0.022450000,3584,782699,218.386997768,17564,0.001108000,32570,1536,2821,704,0,5043,1344,2510,0,0,,0,,,,,3.000000000,9.000000000,3.584962501,,
funnel,"english.txt",4096,3584,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,1,1,0.000319000,3584,65859,18.375837054,66,0.000455000,3584,65859,18.375837054,66,0.000001000,62,,,,,,,,,,,,3584,0,0,0,3.000000000,9.000000000,3.584962501,12.584962501,64.000000000
standard,"english.txt",4096,3968,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.000320000,3968,33479,8.437247984,858,0.000275000,3968,33479,8.437247984,858,0.000000000,13,,,,,,,,,,,,,,,,5.000000000,25.000000000,3.584962501,,
elastic,"english.txt",4096,3968,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000430000,3968,16117,4.061743952,178,0.037089000,3968,1327955,334.666078629,19908,0.001085000,32570,1536,2821,944,0,10565,1488,2731,0,0,,0,,,,,5.000000000,25.000000000,3.584962501,,
funnel,"english.txt",4096,3968,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.000469000,3968,166996,42.085685484,268,0.000779000,3968,166996,42.085685484,268,0.000001000,269,,,,,,,,,,,,3968,0,0,0,5.000000000,25.000000000,3.584962501,28.584962501,16.000000000
standard,"english.txt",4096,4064,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,1,1,0.000421000,4064,70298,17.297736220,2591,0.000357000,4064,70298,17.297736220,2591,0.000003000,1137,,,,,,,,,,,,,,,,7.000000000,49.000000000,3.584962501,,
elastic,"english.txt",4096,4064,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000534000,4064,21922,5.394192913,596,0.041637000,4064,1489182,366.432578740,27431,0.001040000,32570,1536,2821,1004,0,16340,1524,2761,0,0,,0,,,,,7.000000000,49.000000000,3.584962501,,
standard,"english.txt",4096,4080,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,1,1,0.000494000,4080,94003,23.039950980,3597,0.000422000,4080,94003,23.039950980,3597,0.000004000,1179,,,,,,,,,,,,,,,,8.000000000,64.000000000,3.584962501,,
elastic,"english.txt",4096,4080,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.000623000,4080,26537,6.504166667,801,0.042700000,4080,1532339,375.573284314,27431,0.001062000,32570,1536,2821,1016,2,20942,1528,2774,0,0,,0,,,,,8.000000000,64.000000000,3.584962501,,
