implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
standard,"english.txt",65536,57344,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,1,1,0.003961000,57344,246166,4.292794364,363,0.003253000,57344,246166,4.292794364,363,0.000003000,14,,,,,,,,,,,,,,,,3.000000000,9.000000000,4.000000000,,
elastic,"english.txt",65536,57344,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.004561000,57344,167493,2.920846122,92,0.609372000,57344,19802547,345.329014369,61092,0.029310000,787563,24576,45464,11264,0,82100,21504,39929,0,0,,0,,,,,3.000000000,9.000000000,4.000000000,,
funnel,"english.txt",65536,57344,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,1,1,0.005462000,57344,1001493,17.464651925,61,0.008728000,57344,1001493,17.464651925,61,0.000002000,52,,,,,,,,,,,,57344,0,0,0,3.000000000,9.000000000,4.000000000,13.000000000,1024.000000000
standard,"english.txt",65536,63488,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.007025000,63488,1047656,16.501638105,4245,0.006199000,63488,1047656,16.501638105,4245,0.000001000,96,,,,,,,,,,,,,,,,5.000000000,25.000000000,4.000000000,,
elastic,"english.txt",65536,63488,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.007136000,63488,272246,4.288148942,395,1.908662000,63488,62251850,980.529391381,318854,0.028198000,787563,24576,45464,15104,0,182742,23808,44040,0,0,,0,,,,,5.000000000,25.000000000,4.000000000,,
funnel,"english.txt",65536,63488,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.006945000,63488,2131418,33.571982107,154,0.013761000,63488,2131418,33.571982107,154,0.000001000,152,,,,,,,,,,,,63488,0,0,0,5.000000000,25.000000000,4.000000000,29.000000000,256.000000000
standard,"english.txt",65536,65024,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,1,1,0.012329000,65024,2988038,45.952848179,11519,0.011518000,65024,2988038,45.952848179,11519,0.000003000,1323,,,,,,,,,,,,,,,,7.000000000,49.000000000,4.000000000,,
elastic,"english.txt",65536,65024,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.008889000,65024,362354,5.572619341,701,2.836835000,65024,91438192,1406.222194882,282627,0.027974000,787563,24576,45464,16068,4,271898,24380,44992,0,0,,0,,,,,7.000000000,49.000000000,4.000000000,,
funnel,"english.txt",65536,65024,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,1,1,0.007852000,65024,3265536,50.220472441,378,0.017877000,65024,3265536,50.220472441,378,0.000002000,373,,,,,,,,,,,,65024,0,0,0,7.000000000,49.000000000,4.000000000,53.000000000,64.000000000
standard,"english.txt",65536,65280,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,1,1,0.015509000,65280,4044194,61.951501225,18585,0.014669000,65280,4044194,61.951501225,18585,0.000004000,1506,,,,,,,,,,,,,,,,8.000000000,64.000000000,4.000000000,,
elastic,"english.txt",65536,65280,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.010125000,65280,403044,6.174080882,801,3.109188000,65280,100365911,1537.467999387,350895,0.027664000,787563,24576,45464,16240,16,312417,24464,45163,0,0,,0,,,,,8.000000000,64.000000000,4.000000000,,
funnel,"english.txt",65536,65280,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,1,1,0.008149000,65280,3796096,58.150980392,544,0.019523000,65280,3796096,58.150980392,544,0.000003000,545,,,,,,,,,,,,65280,0,0,0,8.000000000,64.000000000,4.000000000,68.000000000,32.000000000
