implementation,dataset,capacity,keys,delta,load_factor,c,seed,probe_counting,correct,insertion_seconds,insertion_operations,insertion_probes,insertion_probe_average,insertion_probe_maximum,positive_lookup_seconds,positive_lookup_operations,positive_lookup_probes,positive_lookup_probe_average,positive_lookup_probe_maximum,negative_lookup_seconds,negative_lookup_probes,elastic_batch_zero_insertions,elastic_batch_zero_probes,elastic_case_one_insertions,elastic_case_one_fallbacks,elastic_case_one_probes,elastic_case_two_insertions,elastic_case_two_probes,elastic_case_three_insertions,elastic_case_three_probes,elastic_case_three_probe_average,elastic_case_three_probe_maximum,funnel_insertions_in_a,funnel_insertions_in_b,funnel_insertions_in_c,funnel_insertion_failures,theory_log2_inverse_delta,theory_log2_inverse_delta_squared,theory_log2_log2_capacity,theory_funnel_maximum_scale,theory_funnel_special_insertion_bound
standard,"english.txt",16384,14336,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,1,1,0.000992000,14336,62871,4.385532924,309,0.000769000,14336,62871,4.385532924,309,0.000000000,20,,,,,,,,,,,,,,,,3.000000000,9.000000000,3.807354922,,
elastic,"english.txt",16384,14336,0.125000000,0.875000000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001130000,14336,40966,2.857561384,97,0.122123000,14336,4051684,282.623046875,30194,0.006486000,184260,6144,11244,2816,0,19714,5376,10008,0,0,,0,,,,,3.000000000,9.000000000,3.807354922,,
funnel,"english.txt",16384,14336,0.125000000,0.875000000,,000102030405060708090a0b0c0d0e0f,1,1,0.001263000,14336,252785,17.632882254,61,0.002023000,14336,252785,17.632882254,61,0.000000000,58,,,,,,,,,,,,14336,0,0,0,3.000000000,9.000000000,3.807354922,12.807354922,256.000000000
standard,"english.txt",16384,15872,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.001608000,15872,257311,16.211630544,3310,0.001390000,15872,257311,16.211630544,3310,0.000002000,964,,,,,,,,,,,,,,,,5.000000000,25.000000000,3.807354922,,
elastic,"english.txt",16384,15872,0.031250000,0.968750000,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.001671000,15872,65506,4.127142137,234,0.285264000,15872,9286307,585.074785786,61353,0.006567000,184260,6144,11244,3776,0,43449,5952,10813,0,0,,0,,,,,5.000000000,25.000000000,3.807354922,,
funnel,"english.txt",16384,15872,0.031250000,0.968750000,,000102030405060708090a0b0c0d0e0f,1,1,0.001758000,15872,555709,35.011907762,180,0.003362000,15872,555709,35.011907762,180,0.000002000,181,,,,,,,,,,,,15872,0,0,0,5.000000000,25.000000000,3.807354922,28.807354922,64.000000000
standard,"english.txt",16384,16256,0.007812500,0.992187500,,000102030405060708090a0b0c0d0e0f,1,1,0.003491000,16256,838954,51.608882874,11409,0.003151000,16256,838954,51.608882874,11409,0.000012000,4549,,,,,,,,,,,,,,,,7.000000000,49.000000000,3.807354922,,
elastic,"english.txt",16384,16256,0.007812500,0.992187500,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.002296000,16256,92032,5.661417323,701,0.378256000,16256,12370647,760.989603839,100056,0.006257000,184260,6144,11244,4019,3,69518,6093,11270,0,0,,0,,,,,7.000000000,49.000000000,3.807354922,,
standard,"english.txt",16384,16320,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,1,1,0.004356000,16320,1248150,76.479779412,15245,0.004092000,16320,1248150,76.479779412,15245,0.000015000,5599,,,,,,,,,,,,,,,,8.000000000,64.000000000,3.807354922,,
elastic,"english.txt",16384,16320,0.003906250,0.996093750,100.000000000,000102030405060708090a0b0c0d0e0f,1,1,0.002507000,16320,101575,6.223958333,801,0.385974000,16320,12871483,788.693811275,104867,0.006394000,184260,6144,11244,4060,4,79086,6116,11245,0,0,,0,,,,,8.000000000,64.000000000,3.807354922,,
funnel,"english.txt",16384,16320,0.003906250,0.996093750,,000102030405060708090a0b0c0d0e0f,1,1,0.002203000,16320,1084128,66.429411765,640,0.005245000,16320,1084128,66.429411765,640,0.000003000,641,,,,,,,,,,,,16320,0,0,0,8.000000000,64.000000000,3.807354922,67.807354922,8.000000000
